Exercício: 2015
Período: 1o. bimestre
Escopo: Municípios
Anexo 03 - Demonstrativo da Receita Corrente Líquida
Tabela: Receita realizada total (últimos 12 meses)
Instituição;Cod.IBGE;UF;População;Conta;Valor
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;Receita Patrimonial;44700809,29
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;Receita Industrial;19900,93
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;Receita de Serviços;100649438,97
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;Transferências Correntes;1880251766,47
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;Cota-Parte do FPM;55106050,44
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;Cota-Parte do ICMS;978868502,83
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;Cota-Parte do IPVA;168285457,53
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;Cota-Parte do ITR;133285,70
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;Transferências da LC 87/1996;4586210,09
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;Transferências da LC 61/1989;8596829,87
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;Transferências do FUNDEB;263013809,42
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;Outras Transferências Correntes;401661620,59
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;Outras Receitas Correntes;245200308,69
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;DEDUÇÕES (II);345964048,85
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;Contrib. do Servidor para o Plano de Previdência;56682064,03
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;Compensações Financ. entre Regimes Previdência;46754383,16
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;Dedução de Receita para Formação do FUNDEB;242527601,66
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;RECEITA CORRENTE LÍQUIDA (III) = (I - II);2894803844,53
Prefeitura Municipal de Piranguinho - MG;3151008;MG;8456;RECEITAS CORRENTES (I);17211324,27
Prefeitura Municipal de Piranguinho - MG;3151008;MG;8456;Receita Tributária;1112810,74
Prefeitura Municipal de Piranguinho - MG;3151008;MG;8456;IPTU;169320,72
Prefeitura Municipal de Piranguinho - MG;3151008;MG;8456;ISS;162463,28
Prefeitura Municipal de Piranguinho - MG;3151008;MG;8456;ITBI;327038,29
Prefeitura Municipal de Piranguinho - MG;3151008;MG;8456;IRRF;82459,62
Prefeitura Municipal de Piranguinho - MG;3151008;MG;8456;Outras Receitas Tributárias;371528,83
Prefeitura Municipal de Piranguinho - MG;3151008;MG;8456;Receita de Contribuições;322933,11
Prefeitura Municipal de Piranguinho - MG;3151008;MG;8456;Receita Patrimonial;184102,02
Prefeitura Municipal de Piranguinho - MG;3151008;MG;8456;Receita de Serviços;222597,76
Prefeitura Municipal de Piranguinho - MG;3151008;MG;8456;Transferências Correntes;14976278,76
Prefeitura Municipal de Piranguinho - MG;3151008;MG;8456;Cota-Parte do FPM;6931051,52
Prefeitura Municipal de Piranguinho - MG;3151008;MG;8456;Cota-Parte do ICMS;2718912,21
Prefeitura Municipal de Piranguinho - MG;3151008;MG;8456;Cota-Parte do IPVA;613181,81
Prefeitura Municipal de Piranguinho - MG;3151008;MG;8456;Cota-Parte do ITR;7367,25
Prefeitura Municipal de Piranguinho - MG;3151008;MG;8456;Transferências do FUNDEB;2237583,95
Prefeitura Municipal de Piranguinho - MG;3151008;MG;8456;Outras Transferências Correntes;2468182,02
Prefeitura Municipal de Piranguinho - MG;3151008;MG;8456;Outras Receitas Correntes;392601,88
Prefeitura Municipal de Piranguinho - MG;3151008;MG;8456;DEDUÇÕES (II);2008410,48
Prefeitura Municipal de Piranguinho - MG;3151008;MG;8456;Dedução de Receita para Formação do FUNDEB;2008410,48
Prefeitura Municipal de Piranguinho - MG;3151008;MG;8456;RECEITA CORRENTE LÍQUIDA (III) = (I - II);15202913,79
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;RECEITAS CORRENTES (I);156485126,73
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;Receita Tributária;25612639,21
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;IPTU;8673204,71
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;ISS;6459811,28
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;ITBI;2672806,47
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;IRRF;3115336,82
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;Outras Receitas Tributárias;4691479,93
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;Receita de Contribuições;6314002,51
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;Receita Patrimonial;2265218,06
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;Receita de Serviços;175345,39
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;Transferências Correntes;118761797,17
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;Cota-Parte do FPM;25214563,72
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;Cota-Parte do ICMS;36448159,68
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;Cota-Parte do IPVA;6001888,80
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;Cota-Parte do ITR;38738,62
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;Transferências da LC 87/1996;228283,40
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;Transferências da LC 61/1989;701274,35
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;Transferências do FUNDEB;16987395,84
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;Outras Transferências Correntes;33141492,76
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;Outras Receitas Correntes;3356124,39
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;DEDUÇÕES (II);18682200,56
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;Contrib. do Servidor para o Plano de Previdência;4555836,92
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;Compensações Financ. entre Regimes Previdência;613942,57
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;Dedução de Receita para Formação do FUNDEB;13512421,07
Prefeitura Municipal de Venâncio Aires - RS;4322608;RS;69521;RECEITA CORRENTE LÍQUIDA (III) = (I - II);137802926,17
Prefeitura Municipal de São José do Hortêncio - RS;4318481;RS;4419;RECEITAS CORRENTES (I);17833392,32
Prefeitura Municipal de São José do Hortêncio - RS;4318481;RS;4419;Receita Tributária;835717,62
Prefeitura Municipal de São José do Hortêncio - RS;4318481;RS;4419;IPTU;170238,32
Prefeitura Municipal de São José do Hortêncio - RS;4318481;RS;4419;ISS;118357,57
Prefeitura Municipal de São José do Hortêncio - RS;4318481;RS;4419;ITBI;63273,38
Prefeitura Municipal de São José do Hortêncio - RS;4318481;RS;4419;IRRF;96096,92
Prefeitura Municipal de São José do Hortêncio - RS;4318481;RS;4419;Outras Receitas Tributárias;387751,43
Prefeitura Municipal de São José do Hortêncio - RS;4318481;RS;4419;Receita de Contribuições;412325,13
Prefeitura Municipal de São José do Hortêncio - RS;4318481;RS;4419;Receita Patrimonial;2553574,13
Prefeitura Municipal de São José do Hortêncio - RS;4318481;RS;4419;Receita de Serviços;539493,58
Prefeitura Municipal de São José do Hortêncio - RS;4318481;RS;4419;Transferências Correntes;13389806,91
Prefeitura Municipal de São José do Hortêncio - RS;4318481;RS;4419;Cota-Parte do FPM;6303640,87
Prefeitura Municipal de São José do Hortêncio - RS;4318481;RS;4419;Cota-Parte do ICMS;3350877,62
Prefeitura Municipal de São José do Hortêncio - RS;4318481;RS;4419;Cota-Parte do IPVA;372743,93
Prefeitura Municipal de São José do Hortêncio - RS;4318481;RS;4419;Cota-Parte do ITR;4056,10
Prefeitura Municipal de São José do Hortêncio - RS;4318481;RS;4419;Transferências da LC 87/1996;23415,82
Prefeitura Municipal de São José do Hortêncio - RS;4318481;RS;4419;Transferências da LC 61/1989;64030,28
Prefeitura Municipal de São José do Hortêncio - RS;4318481;RS;4419;Transferências do FUNDEB;1989178,68
Prefeitura Municipal de São José do Hortêncio - RS;4318481;RS;4419;Outras Transferências Correntes;1281863,61
Prefeitura Municipal de São José do Hortêncio - RS;4318481;RS;4419;Outras Receitas Correntes;102474,95
Prefeitura Municipal de São José do Hortêncio - RS;4318481;RS;4419;DEDUÇÕES (II);2295313,85
Prefeitura Municipal de São José do Hortêncio - RS;4318481;RS;4419;Contrib. do Servidor para o Plano de Previdência;324819,17
Prefeitura Municipal de São José do Hortêncio - RS;4318481;RS;4419;Dedução de Receita para Formação do FUNDEB;1970494,68
Prefeitura Municipal de São José do Hortêncio - RS;4318481;RS;4419;RECEITA CORRENTE LÍQUIDA (III) = (I - II);15538078,47
Prefeitura Municipal de Angelim - PE;2601003;PE;10795;RECEITAS CORRENTES (I);24416170,90
Prefeitura Municipal de Angelim - PE;2601003;PE;10795;Receita Tributária;859156,44
Prefeitura Municipal de Angelim - PE;2601003;PE;10795;IPTU;24143,19
Prefeitura Municipal de Angelim - PE;2601003;PE;10795;ISS;413039,19
Prefeitura Municipal de Angelim - PE;2601003;PE;10795;ITBI;18310,00
Prefeitura Municipal de Angelim - PE;2601003;PE;10795;IRRF;387788,46
Prefeitura Municipal de Angelim - PE;2601003;PE;10795;Outras Receitas Tributárias;15875,60
Prefeitura Municipal de Angelim - PE;2601003;PE;10795;Receita de Contribuições;477283,58
Prefeitura Municipal de Angelim - PE;2601003;PE;10795;Receita Patrimonial;381273,16
Prefeitura Municipal de Angelim - PE;2601003;PE;10795;Receita de Serviços;49506,60
Prefeitura Municipal de Angelim - PE;2601003;PE;10795;Transferências Correntes;22515454,03
Prefeitura Municipal de Angelim - PE;2601003;PE;10795;Cota-Parte do FPM;9636968,82
Prefeitura Municipal de Angelim - PE;2601003;PE;10795;Cota-Parte do ICMS;2877185,12
Prefeitura Municipal de Angelim - PE;2601003;PE;10795;Cota-Parte do IPVA;130769,75
Prefeitura Municipal de Angelim - PE;2601003;PE;10795;Cota-Parte do ITR;3160,26
Prefeitura Municipal de Angelim - PE;2601003;PE;10795;Transferências da LC 87/1996;5349,60
Prefeitura Municipal de Angelim - PE;2601003;PE;10795;Transferências da LC 61/1989;6846,30
Prefeitura Municipal de Angelim - PE;2601003;PE;10795;Transferências do FUNDEB;5854423,83
Prefeitura Municipal de Angelim - PE;2601003;PE;10795;Outras Transferências Correntes;4000750,35
Prefeitura Municipal de Angelim - PE;2601003;PE;10795;Outras Receitas Correntes;133497,09
Prefeitura Municipal de Angelim - PE;2601003;PE;10795;DEDUÇÕES (II);2434596,53
Prefeitura Municipal de Angelim - PE;2601003;PE;10795;Contrib. do Servidor para o Plano de Previdência;477283,58
Prefeitura Municipal de Angelim - PE;2601003;PE;10795;Dedução de Receita para Formação do FUNDEB;1957312,95
Prefeitura Municipal de Angelim - PE;2601003;PE;10795;RECEITA CORRENTE LÍQUIDA (III) = (I - II);21981574,37
Prefeitura Municipal de Farroupilha - RS;4307906;RS;68030;RECEITAS CORRENTES (I);200410074,36
Prefeitura Municipal de Farroupilha - RS;4307906;RS;68030;Receita Tributária;28550216,45
Prefeitura Municipal de Farroupilha - RS;4307906;RS;68030;IPTU;4911619,53
Prefeitura Municipal de Farroupilha - RS;4307906;RS;68030;ISS;10077694,65
Prefeitura Municipal de Farroupilha - RS;4307906;RS;68030;ITBI;4665963,09
Prefeitura Municipal de Farroupilha - RS;4307906;RS;68030;IRRF;4537754,80
Prefeitura Municipal de Farroupilha - RS;4307906;RS;68030;Outras Receitas Tributárias;4357184,38
Prefeitura Municipal de Farroupilha - RS;4307906;RS;68030;Receita de Contribuições;6311275,17
Prefeitura Municipal de Farroupilha - RS;4307906;RS;68030;Receita Patrimonial;18240766,05
Prefeitura Municipal de Farroupilha - RS;4307906;RS;68030;Receita de Serviços;691272,71
Prefeitura Municipal de Farroupilha - RS;4307906;RS;68030;Transferências Correntes;142818222,14
Prefeitura Municipal de Farroupilha - RS;4307906;RS;68030;Cota-Parte do FPM;25214563,70
Prefeitura Municipal de Farroupilha - RS;4307906;RS;68030;Cota-Parte do ICMS;48866973,62
Prefeitura Municipal de Farroupilha - RS;4307906;RS;68030;Cota-Parte do IPVA;9178190,62
Prefeitura Municipal de Farroupilha - RS;4307906;RS;68030;Cota-Parte do ITR;137131,80
Prefeitura Municipal de Farroupilha - RS;4307906;RS;68030;Transferências da LC 87/1996;312811,00
Prefeitura Municipal de Farroupilha - RS;4307906;RS;68030;Transferências do FUNDEB;25485685,71
Prefeitura Municipal de Farroupilha - RS;4307906;RS;68030;Outras Transferências Correntes;33622865,69
Prefeitura Municipal de Farroupilha - RS;4307906;RS;68030;Outras Receitas Correntes;3798321,84
Prefeitura Municipal de Farroupilha - RS;4307906;RS;68030;DEDUÇÕES (II);22474070,44
Prefeitura Municipal de Farroupilha - RS;4307906;RS;68030;Contrib. do Servidor para o Plano de Previdência;4902428,49
Prefeitura Municipal de Farroupilha - RS;4307906;RS;68030;Compensações Financ. entre Regimes Previdência;860023,61
Prefeitura Municipal de Farroupilha - RS;4307906;RS;68030;Dedução de Receita para Formação do FUNDEB;16711618,34
Prefeitura Municipal de Farroupilha - RS;4307906;RS;68030;RECEITA CORRENTE LÍQUIDA (III) = (I - II);177936003,92
Prefeitura Municipal de São Leopoldo - RS;4318705;RS;226988;RECEITAS CORRENTES (I);565979482,69
Prefeitura Municipal de São Leopoldo - RS;4318705;RS;226988;Receita Tributária;103325815,09
Prefeitura Municipal de São Leopoldo - RS;4318705;RS;226988;IPTU;26823504,91
Prefeitura Municipal de São Leopoldo - RS;4318705;RS;226988;ISS;38042270,91
Prefeitura Municipal de São Leopoldo - RS;4318705;RS;226988;ITBI;10153837,10
Prefeitura Municipal de São Leopoldo - RS;4318705;RS;226988;IRRF;15936446,71
Prefeitura Municipal de São Leopoldo - RS;4318705;RS;226988;Outras Receitas Tributárias;12369755,46
Prefeitura Municipal de São Leopoldo - RS;4318705;RS;226988;Receita de Contribuições;25802255,72
Prefeitura Municipal de São Leopoldo - RS;4318705;RS;226988;Receita Patrimonial;26753262,94
Prefeitura Municipal de São Leopoldo - RS;4318705;RS;226988;Receita de Serviços;63500134,41
Prefeitura Municipal de São Leopoldo - RS;4318705;RS;226988;Transferências Correntes;319947433,69
Prefeitura Municipal de São Leopoldo - RS;4318705;RS;226988;Cota-Parte do FPM;55849312,46
Prefeitura Municipal de São Leopoldo - RS;4318705;RS;226988;Cota-Parte do ICMS;82885784,66
Prefeitura Municipal de São Leopoldo - RS;4318705;RS;226988;Cota-Parte do IPVA;19906722,28
Prefeitura Municipal de São Leopoldo - RS;4318705;RS;226988;Cota-Parte do ITR;13334,93
